District,Year,Kharif_Area,Kharif_Production,Kharif_Yield,Rabi_Area,Rabi_Production,Rabi_Yield
Adilabad,1997 - 1998,30600,29100,0.95,5200,12400,2.38
Adilabad,1998 - 1999,66400,152300,2.29,12200,33500,2.75
Adilabad,1999 - 2000,66388,162451,2.45,10980,26616,2.42
Adilabad,2000 - 2001,70645,146235,2.07,6828,21023,3.08
Adilabad,2001 - 2002,67358,150343,2.23,9786,23398,2.39
Adilabad,2002 - 2003,71657,110710,1.54,5137,11188,2.18
Adilabad,2003 - 2004,74851,184732,2.47,6069,16016,2.64
Adilabad,2004 - 2005,35637,54133,1.52,3984,8749,2.2
Adilabad,2005 - 2006,69284,178198,2.57,9466,22586,2.39
Adilabad,2006 - 2007,64743,155318,2.4,9019,22548,2.5
Adilabad,2007 - 2008,40000,96000,2.4,12000,28000,2.33
Adilabad,2008 - 2009,54506,133049,2.44,22788,65333,2.87
Adilabad,2009 - 2010,37878,75264,1.99,10240,23235,2.27
Adilabad,2010 - 2011,62903,175263,2.79,27644,79891,2.89
Adilabad,2011 - 2012,60681,151310,2.49,15489,48016,3.1
Adilabad,2012 - 2013,56000,145000,2.59,15000,42000,2.8
Adilabad,2013 - 2014,65502,175303,2.68,25191,73608,2.92
Adilabad,2014 - 2015,36084,81003,2.24,13996,45123,3.22
Adilabad,2015 - 2016,42575,108571,2.55,14929,43025,2.88
Adilabad,2016 - 2017,1230,3174,2.58,29,110,3.79
Adilabad,2017 - 2018,556,1334,2.4,15,54,3.6
Adilabad,2018 - 2019,385,1222,3.17,42,143,3.4
Adilabad,2019 - 2020,508,1846,3.63,197,733,3.72
Adilabad,2020 - 2021,884,2607,2.95,172,668,3.88
Adilabad,2021 - 2022,804,2650,3.3,28,100,3.57
Adilabad,2022 - 2023,671,2347,3.5,197,679,3.45
Bhadradri,2016 - 2017,45862,160803,3.51,7531,30960,4.11
Bhadradri,2017 - 2018,46629,143736,3.08,7601,28648,3.77
Bhadradri,2018 - 2019,46593,153058,3.28,7064,28722,4.07
Bhadradri,2019 - 2020,57972,212583,3.67,22711,74810,3.29
Bhadradri,2020 - 2021,63935,202065,3.16,27375,42158,1.54
Bhadradri,2021 - 2022,70799,225479,3.18,8484,26818,3.16
Bhadradri,2022 - 2023,66484,230699,3.47,25261,90258,3.57
Hyderabad,1997 - 1998,100,100,1,100,100,1
Hyderabad,1998 - 1999,100,200,2,100,200,2
Hyderabad,1999 - 2000,25,60,2.4,12,29,2.42
Hyderabad,2000 - 2001,16,46,2.88,,,
Jagitial,2016 - 2017,39759,150647,3.79,59092,221122,3.74
Jagitial,2017 - 2018,43602,118554,2.72,48935,171273,3.5
Jagitial,2018 - 2019,58567,248968,4.25,48087,181769,3.78
