month,standard_week,phenophase,duration_in_days,T Max (°C),T Min (°C),T Mean (°C),Rain (mm),RH Max (%),RH Min (%),Evap (mm),Sshr (hrs),WS (km/hr),Optimum T Max (°C),Optimum T Min (°C),Optimum T Mean (°C),Optimum Rain (mm),Optimum RH Max (%),Optimum RH Min (%),Optimum Evap (mm),Optimum Sshr (hrs),Optimum WS (km/hr),Irrigation (mm),Stage,Kc (Complete submurged),Kc (AWD),Unnamed: 25,Unnamed: 26
December,49.0,Seedling (Nursery),30-35,31.0,15.4,23.2,0.9,75.9,46.4,2.8,6.9,1.5,29.8-32,12.8-16.4,21.5-24.2,3.4,74-78,42-50,2.5-2.9,6.5-8.2,1.2-3.4,170-190,Initial stage,1.36,1.36,,
December,50.0,Seedling (Nursery),30-35,30.9,14.8,22.9,0.0,76.2,46.4,2.9,7.1,1.5,29.8-32,12.8-16.4,21.5-24.2,3.4,74-78,42-50,2.5-2.9,6.5-8.2,1.2-3.4,170-190,Initial stage,1.36,1.36,,
December,51.0,Seedling (Nursery),30-35,30.5,14.2,22.4,0.8,76.8,43.7,2.8,7.2,1.4,29.8-32,12.8-16.4,21.5-24.2,3.4,74-78,42-50,2.5-2.9,6.5-8.2,1.2-3.4,170-190,Initial stage,1.36,1.36,,
December,52.0,Seedling (Nursery),30-35,30.6,14.4,22.5,0.2,75.9,40.3,2.7,6.9,6.2,29.8-32,12.8-16.4,21.5-24.2,3.4,74-78,42-50,2.5-2.9,6.5-8.2,1.2-3.4,170-190,Initial stage,1.36,1.36,,
January,1.0,Seedling (Transplanting),30-35,30.5,15.4,23.0,3.4,76.3,43.3,2.9,6.5,1.8,29.8-32,12.8-16.4,21.5-24.2,3.4,74-78,42-50,2.5-2.9,6.5-8.2,1.2-3.4,170-190,Initial stage,1.36,1.36,,
January,2.0,Seedling (Transplanting),66-70,30.6,15.2,22.9,4.2,75.7,41.2,3.0,6.9,1.6,31.2-35.6,16.5-20.2,23.8-27.9,14.1,65-73,36-44,2.9-4.4,6.4-7.9,1.3-4,270-290,Development stage,1.87,1.45,,
January,3.0,Seedling (Transplanting),66-70,31.3,16.0,23.8,3.9,74.2,40.3,3.2,7.0,2.0,31.2-35.6,16.5-20.2,23.8-27.9,14.1,65-73,36-44,2.9-4.4,6.4-7.9,1.3-4,270-290,Development stage,1.87,1.45,,
January,4.0,Tillering to Active Tillering,66-70,31.8,16.3,24.0,1.6,71.8,38.0,3.2,6.9,2.1,31.2-35.6,16.5-20.2,23.8-27.9,14.1,65-73,36-44,2.9-4.4,6.4-7.9,1.3-4,270-290,Development stage,1.87,1.45,,
February,5.0,Tillering to Active Tillering,66-70,32.4,17.1,24.7,1.3,71.4,39.6,3.2,7.0,2.3,31.2-35.6,16.5-20.2,23.8-27.9,14.1,65-73,36-44,2.9-4.4,6.4-7.9,1.3-4,270-290,Development stage,1.87,1.45,,
February,6.0,Tillering to Active Tillering,66-70,33.1,17.9,25.5,1.7,68.2,34.9,3.6,7.1,2.8,31.2-35.6,16.5-20.2,23.8-27.9,14.1,65-73,36-44,2.9-4.4,6.4-7.9,1.3-4,270-290,Development stage,1.87,1.45,,
